iter	Accuracy	Logloss
0	0.8861154446	0.6626826072
1	0.8689547582	0.6275769096
2	0.8471138846	0.5982421891
3	0.8549141966	0.5748694569
4	0.8517940718	0.5520917676
5	0.848673947	0.5326351804
6	0.8580343214	0.5160505132
7	0.864274571	0.5007304758
8	0.8533541342	0.4860348072
9	0.8611544462	0.47137833
10	0.864274571	0.4597555989
11	0.8658346334	0.4482594614
12	0.8689547582	0.4388331706
13	0.8611544462	0.4308307991
14	0.8611544462	0.4223421156
15	0.8658346334	0.4137269863
16	0.8673946958	0.4069773542
17	0.8689547582	0.3987977771
18	0.872074883	0.3913511925
19	0.8767550702	0.3843707693
20	0.8767550702	0.3779007129
21	0.879875195	0.3709417258
22	0.8814352574	0.3639934051
23	0.8814352574	0.3583287866
24	0.8814352574	0.3520073217
25	0.8829953198	0.3461088183
26	0.8845553822	0.3410872652
27	0.8829953198	0.3362208985
28	0.8861154446	0.3324571127
29	0.8939157566	0.3279842954
30	0.895475819	0.3240224419
31	0.895475819	0.3202221632
32	0.8970358814	0.3148840518
33	0.9001560062	0.3108740643
34	0.9048361934	0.3069658534
35	0.9095163807	0.3037930252
36	0.9110764431	0.30025225
37	0.9157566303	0.2968983012
38	0.9157566303	0.2945919334
39	0.9173166927	0.2913767476
40	0.9141965679	0.289456751
41	0.9141965679	0.2869442964
42	0.9173166927	0.2837698917
43	0.9173166927	0.2813903101
44	0.9173166927	0.2788097285
45	0.9188767551	0.2769328753
46	0.9204368175	0.2751872661
47	0.9204368175	0.272481878
48	0.9219968799	0.2705831712
49	0.9188767551	0.2700574144
50	0.9204368175	0.2681586854
51	0.9235569423	0.2666719073
52	0.9235569423	0.2666036054
53	0.9251170047	0.2645592762
54	0.9235569423	0.2627439721
55	0.9204368175	0.2604398393
56	0.9219968799	0.2582866023
57	0.9251170047	0.2562807224
58	0.9266770671	0.2542834902
59	0.9282371295	0.2523660925
60	0.9282371295	0.2509960139
61	0.9282371295	0.250405833
62	0.9251170047	0.2498773615
63	0.9251170047	0.2486703651
64	0.9251170047	0.2486372614
65	0.9251170047	0.2484863439
66	0.9251170047	0.2471594192
67	0.9266770671	0.2465195216
68	0.9266770671	0.2464607174
69	0.9266770671	0.2463911279
70	0.9266770671	0.2462418598
71	0.9266770671	0.2461348353
72	0.9266770671	0.246063961
73	0.9251170047	0.2446729501
74	0.9251170047	0.2446120814
75	0.9266770671	0.2444639576
76	0.9266770671	0.2442533077
77	0.9266770671	0.243853084
78	0.9266770671	0.2430663779
79	0.9266770671	0.2430122927
80	0.9266770671	0.2426571315
81	0.9266770671	0.2425607465
82	0.9266770671	0.2412987363
83	0.9266770671	0.2407483933
84	0.9297971919	0.2400541061
85	0.9297971919	0.2399235032
86	0.9282371295	0.2391622568
87	0.9282371295	0.2390988161
88	0.9282371295	0.2379011404
89	0.9282371295	0.2378485222
90	0.9282371295	0.237400346
91	0.9282371295	0.2372635123
92	0.9282371295	0.2371493264
93	0.9282371295	0.2366078482
94	0.9282371295	0.2364829455
95	0.9282371295	0.2363571049
96	0.9282371295	0.2361979614
97	0.9282371295	0.2361089913
98	0.9282371295	0.2359693352
99	0.9297971919	0.2357508896
