iter	Passed	Remaining
0	193	19174
1	237	11634
2	267	8651
3	307	7390
4	349	6640
5	390	6115
6	433	5756
7	475	5464
8	515	5209
9	555	5003
10	598	4844
11	638	4683
12	678	4541
13	687	4225
14	730	4141
15	761	3997
16	801	3915
17	843	3844
18	883	3766
19	924	3697
20	963	3626
21	1004	3562
22	1051	3521
23	1095	3467
24	1136	3409
25	1179	3356
26	1221	3303
27	1242	3196
28	1284	3144
29	1326	3096
30	1368	3046
31	1410	2996
32	1451	2947
33	1493	2898
34	1535	2852
35	1579	2807
36	1619	2758
37	1659	2707
38	1678	2624
39	1718	2577
40	1738	2501
41	1781	2460
42	1821	2415
43	1862	2370
44	1903	2325
45	1943	2281
46	1980	2233
47	2017	2185
48	2052	2136
49	2080	2080
50	2123	2040
51	2149	1983
52	2162	1917
53	2201	1874
54	2242	1834
55	2280	1792
56	2319	1749
57	2358	1708
58	2397	1665
59	2436	1624
60	2474	1582
61	2514	1541
62	2553	1499
63	2592	1458
64	2603	1401
65	2660	1370
66	2703	1331
67	2724	1282
68	2739	1230
69	2764	1184
70	2823	1153
71	2851	1108
72	2869	1061
73	2911	1023
74	2944	981
75	2983	942
76	3020	902
77	3054	861
78	3090	821
79	3110	777
80	3146	738
81	3178	697
82	3214	658
83	3253	619
84	3289	580
85	3324	541
86	3360	502
87	3397	463
88	3434	424
89	3451	383
90	3489	345
91	3524	306
92	3556	267
93	3592	229
94	3627	190
95	3664	152
96	3700	114
97	3735	76
98	3771	38
99	3807	0
