iter	RMSE
0	157943.0059
1	149103.4518
2	141279.2448
3	133498.9894
4	127298.4179
5	121200.2787
6	116349.2195
7	111208.3212
8	106640.837
9	102307.4342
10	98175.65145
11	94702.03834
12	91512.70766
13	88413.9758
14	85600.07569
15	83326.19881
16	81410.74371
17	79481.9886
18	77925.86807
19	76164.82666
20	74788.14585
21	73382.24964
22	72321.13189
23	71521.73008
24	70723.8737
25	70043.39584
26	69206.91383
27	68537.84419
28	67864.27256
29	67296.07144
30	66761.8828
31	66355.12371
32	65824.59035
33	65530.65595
34	65261.50716
35	64946.35996
36	64669.37987
37	64427.2496
38	64212.64619
39	63878.9032
40	63603.93497
41	63472.95214
42	63376.75724
43	63200.3277
44	63031.00719
45	62926.24834
46	62801.64766
47	62557.28445
48	62465.49387
49	62329.93948
50	62225.29767
51	62022.99049
52	61944.83082
53	61796.50624
54	61649.00723
55	61552.95002
56	61467.5431
57	61365.74261
58	61305.38193
59	61227.69103
60	61122.30421
61	61020.69551
62	60990.71798
63	60904.3853
64	60805.9989
65	60744.27113
66	60711.81299
67	60647.02912
68	60631.2113
69	60497.98498
70	60420.03346
71	60240.95014
72	60176.57078
73	60078.78714
74	60009.49579
75	59942.76848
76	59850.05877
77	59719.06151
78	59691.52301
79	59637.21504
80	59567.18288
81	59478.41637
82	59443.26735
83	59422.17018
84	59363.11037
85	59318.01618
86	59245.18714
87	59166.79545
88	59138.14094
89	59079.21559
90	59048.41966
91	59032.22045
92	58995.84095
93	58941.23494
94	58913.4296
95	58853.29328
96	58808.70776
97	58675.33229
98	58637.57831
99	58603.48269
100	58578.29059
101	58551.20682
102	58390.60164
103	58356.06637
104	58341.95475
105	58290.87792
106	58260.80054
107	58147.24531
108	58125.18732
109	58111.43856
110	58036.42105
111	58014.51379
112	57983.63936
113	57895.93009
114	57872.20466
115	57821.58368
116	57681.58068
117	57515.11741
118	57384.32483
119	57309.72195
120	57286.44436
121	57266.09151
122	57200.82116
123	57112.24792
124	57071.78996
125	56998.49223
126	56849.02189
127	56784.79545
128	56736.18035
129	56693.41875
130	56659.59421
131	56633.38762
132	56602.48402
133	56592.1675
134	56530.79859
135	56516.6585
136	56376.46781
137	56281.40921
138	56102.08562
139	56083.83627
140	55991.06046
141	55913.95832
142	55838.11768
143	55811.17468
144	55792.86924
145	55673.10916
146	55625.38096
147	55571.1606
148	55532.4883
149	55526.5739
150	55495.17736
151	55359.87163
152	55350.53349
153	55318.96466
154	55253.55956
155	55172.3156
156	55156.69255
157	55146.67053
158	55125.38214
159	55062.12414
160	55022.0888
161	55014.51775
162	54945.83103
163	54909.63366
164	54871.69989
165	54817.16626
166	54741.0682
167	54680.93274
168	54655.86785
169	54634.33532
170	54603.33381
171	54569.78434
172	54541.35493
173	54473.00633
174	54447.37893
175	54427.13088
176	54393.40671
177	54380.74113
178	54283.31275
179	54251.16996
180	54198.97567
181	54171.47906
182	54151.52954
183	54128.72998
184	54043.44123
185	54018.53402
186	53955.66279
187	53937.35559
188	53915.85623
189	53866.74121
190	53770.43221
191	53692.13583
192	53664.63492
193	53638.45911
194	53582.84986
195	53566.24941
196	53551.98056
197	53537.82689
198	53504.87462
199	53430.89186
200	53425.07664
201	53396.40804
202	53316.25205
203	53303.27678
204	53254.87142
205	53241.80105
206	53218.66107
207	53189.87396
208	53150.53984
209	53066.15519
210	53051.497
211	53004.05181
212	52981.83658
213	52977.71698
214	52930.17375
215	52911.32345
216	52903.64304
217	52841.48119
218	52786.96624
219	52773.98764
220	52754.36913
221	52692.2846
222	52643.20662
223	52589.34763
224	52540.22716
225	52450.03422
226	52386.14733
227	52289.71792
228	52275.74698
229	52217.3704
230	52195.66748
231	52088.12073
232	52067.65153
233	52062.67638
234	51997.6245
235	51916.7308
236	51897.61268
237	51833.17809
238	51814.01604
239	51800.61879
240	51754.9549
241	51655.42296
242	51615.65887
243	51544.09187
244	51475.3928
245	51404.68384
246	51390.08377
247	51339.2781
248	51277.24852
249	51266.10692
