iter	Passed	Remaining
0	0	167
1	1	154
2	1	159
3	2	170
4	3	176
5	4	187
6	6	211
7	6	201
8	7	201
9	8	195
10	9	200
11	10	208
12	11	206
13	12	209
14	13	207
15	13	202
16	14	202
17	15	206
18	17	211
19	18	217
20	19	216
21	20	213
22	21	214
23	22	211
24	23	208
25	24	211
26	25	210
27	26	207
28	26	204
29	28	208
30	29	207
31	30	205
32	30	202
33	31	199
34	32	196
35	33	196
36	33	195
37	34	193
38	35	192
39	36	190
40	36	188
41	38	188
42	39	188
43	39	186
44	40	185
45	41	183
46	42	181
47	42	179
48	43	177
49	43	175
50	44	174
51	45	173
52	46	171
53	46	170
54	47	168
55	48	167
56	49	166
57	49	165
58	51	165
59	51	164
60	52	163
61	53	162
62	54	160
63	54	158
64	55	156
65	55	155
66	56	154
67	56	152
68	57	151
69	58	150
70	58	148
71	59	147
72	60	146
73	61	145
74	62	144
75	62	143
76	64	144
77	64	143
78	65	142
79	66	140
80	66	139
81	67	138
82	68	137
83	69	136
84	69	135
85	70	133
86	70	132
87	71	131
88	71	129
89	72	128
90	73	127
91	74	127
92	74	126
93	75	124
94	75	123
95	76	122
96	76	120
97	77	119
98	77	118
99	78	117
100	78	116
101	79	115
102	80	114
103	80	113
104	81	112
105	81	111
106	82	110
107	83	109
108	83	108
109	84	107
110	85	106
111	86	106
112	86	105
113	87	104
114	87	103
115	88	102
116	88	101
117	89	100
118	90	99
119	90	98
120	91	97
121	92	96
122	92	95
123	93	94
124	93	93
125	94	92
126	94	91
127	95	90
128	96	90
129	96	89
130	97	88
131	97	87
132	98	86
133	99	85
134	99	85
135	100	84
136	101	83
137	101	82
138	102	81
139	102	80
140	102	79
141	103	78
142	103	77
143	104	76
144	105	76
145	105	75
146	106	74
147	106	73
148	107	72
149	107	71
150	108	71
151	109	70
152	110	69
153	110	69
154	111	68
155	111	67
156	112	66
157	112	65
158	113	64
159	114	64
160	114	63
161	115	62
162	115	61
163	116	60
164	116	60
165	117	59
166	117	58
167	118	57
168	118	56
169	119	56
170	119	55
171	120	54
172	121	54
173	122	53
174	122	52
175	123	51
176	123	50
177	123	50
178	124	49
179	125	48
180	125	47
181	126	47
182	126	46
183	127	45
184	127	44
185	128	44
186	128	43
187	129	42
188	129	41
189	130	41
190	131	40
191	131	39
192	132	39
193	133	38
194	133	37
195	134	37
196	134	36
197	135	35
198	135	34
199	136	34
200	137	33
201	137	32
202	138	31
203	138	31
204	139	30
205	139	29
206	140	29
207	140	28
208	141	27
209	141	27
210	142	26
211	143	25
212	143	24
213	144	24
214	145	23
215	145	22
216	146	22
217	146	21
218	147	20
219	147	20
220	148	19
221	149	18
222	149	18
223	150	17
224	150	16
225	151	16
226	151	15
227	152	14
228	153	14
229	153	13
230	154	12
231	154	12
232	155	11
233	156	10
234	157	10
235	157	9
236	158	8
237	158	8
238	159	7
239	159	6
240	160	6
241	161	5
242	162	4
243	162	4
244	163	3
245	164	2
246	165	2
247	166	1
248	166	0
249	168	0
