iter	Passed	Remaining
0	116	11534
1	130	6382
2	141	4573
3	153	3673
4	163	3103
5	175	2744
6	186	2484
7	198	2277
8	208	2109
9	220	1983
10	232	1879
11	242	1781
12	253	1699
13	265	1628
14	276	1565
15	287	1507
16	299	1460
17	310	1412
18	321	1368
19	332	1331
20	344	1295
21	355	1259
22	367	1229
23	378	1198
24	389	1168
25	401	1142
26	413	1116
27	424	1090
28	435	1065
29	446	1042
30	457	1019
31	468	995
32	480	974
33	491	954
34	502	932
35	513	912
36	525	894
37	535	873
38	547	856
39	559	838
40	570	820
41	581	802
42	592	785
43	603	768
44	614	751
45	625	734
46	637	718
47	648	702
48	659	686
49	671	671
50	683	656
51	694	640
52	706	626
53	717	611
54	728	596
55	740	581
56	751	567
57	763	552
58	774	538
59	786	524
60	797	509
61	808	495
62	819	481
63	831	467
64	841	453
65	853	439
66	864	426
67	876	412
68	888	399
69	899	385
70	911	372
71	921	358
72	933	345
73	944	331
74	955	318
75	966	305
76	978	292
77	989	279
78	1001	266
79	1013	253
80	1025	240
81	1036	227
82	1047	214
83	1058	201
84	1069	188
85	1080	175
86	1092	163
87	1103	150
88	1113	137
89	1125	125
90	1136	112
91	1147	99
92	1159	87
93	1171	74
94	1182	62
95	1193	49
96	1204	37
97	1215	24
98	1226	12
99	1238	0
